"","timepoint","bw_date","ID","species","colony","coralID","colony_ID","home_reef","transplant_reef","collection_site","transplant_site","transplant","pale.or.bleached","partial.mortality","mortality","parent.colony.length","parent.colony.width","parent.colony.height","parent.colony.area","parent.colony.volume","bw","bw_sd","bw_se","surface.area","sa_sd","sa_se","chla","carbs_sa","carbs_dw","lipids_sa","lipids_dw","protein_dw","protein_sa","months","speciescolony","prot_mean","protlowerci","protupperci"
"228","T1","3/7/2018","PSTR 6 7","PSTR","P6","7","NSP6","NS","OS","False Caye","Silk Cayes","OS Transplant","N","N","alive",20,18,15,360,5400,18.18265845,0.005773503,0.004082483,24.95794691,0.363857294,0.210073106,3531.112727,NA,0.07925894,NA,0.223395276,0.031794761,2.254428341,3,"PSTR:P6",0.0444385473140587,-0.0357401120340846,0.123743065492117
"237","T2","9/26/2018","PSTR 6 12","PSTR","P6","12","NSP6","NS","OS","False Caye","Silk Cayes","OS Transplant","Y","N","alive",20,18,15,360,5400,15.2562228,0.005773503,0.004082483,18.30209316,0.02590693,0.014957373,6172.672,1.014929518,0.013918124,0.410626051,0.005631075,0.026830272,1.736111111,9,"PSTR:P6",0.0364243304296188,-0.0453608885477892,0.11641284246249
"238","T2","9/24/2018","PSTR 6 2","PSTR","P6","2","NSP6","NS","NS","False Caye","False Caye","NS Native","N","N","alive",20,18,15,360,5400,27.29151356,0.011547005,0.008164966,30.24270743,0.121192571,0.069970564,11432.78431,1.59746501,0.030370954,6.496078125,0.12350323,0.019834344,1.5625,9,"PSTR:P6",0.0244748234329385,-0.0545820735576398,0.0975499449733974
"246","T3","5/30/2019","PSTR P6 3","PSTR","P6","3","NSP6","NS","NS","False Caye","False Caye","NS Native","N","N","alive",20,18,15,360,5400,42.75166375,0.02081666,0.014719601,39.40232997,0.250566699,0.144664751,30927.12727,0.824165189,0.022946595,1.432562868,0.039885741,0.11136891,4,17,"PSTR:P6",0.0743634575525098,0.00357960553028182,0.144835142639496
"253","T3","5/31/2019","PSTR P6 11","PSTR","P6","11","NSP6","NS","OS","False Caye","Silk Cayes","OS Transplant","N","Y","alive",20,18,15,360,5400,17.41333333,0.015275252,0.010801234,29.45640549,0.128712549,0.074312225,5013.997037,1.06892806,0.042679634,NA,NA,0.016692102,0.418060201,17,"PSTR:P6",0.0493819858088354,-0.0296244631739365,0.126677487974981
"267","T1","3/6/2018","PSTR 1 14","PSTR","P1","14","OSP1","OS","OS","Silk Cayes","Silk Cayes","OS Native","N","N","alive",20,16,14,320,4480,19.66415425,0.005773503,0.004082483,30.07505409,0.184999167,0.106809319,9552.944762,NA,0.015406977,NA,0.034507264,0.022139033,1.666666667,3,"PSTR:P1",0.0174640659586696,-0.0659992593236258,0.106350733581821
"273","T1","3/9/2018","PSTR 1 20","PSTR","P1","20","OSP1","OS","NS","Silk Cayes","False Caye","NS Transplant","N","N","alive",20,16,14,320,4480,10.87882662,0.005773503,0.004082483,16.79606301,0.055323428,0.031940996,13687.82222,NA,0.023674456,NA,0.045483108,0.044120032,1.851851852,3,"PSTR:P1",0.0387434656273042,-0.0389197861074728,0.120378420980944
"279","T2","9/26/2018","PSTR 1 15","PSTR","P1","15","OSP1","OS","OS","Silk Cayes","Silk Cayes","OS Native","N","N","alive",20,16,14,320,4480,23.35423581,0.015275252,0.010801234,24.75210109,0.03585523,0.020701026,20564.94545,1.612605896,0.044624169,2.259534713,0.062526038,0.041006344,1.298701299,9,"PSTR:P1",0.0281536529720741,-0.0593685380451568,0.114221358377399
"284","T2","9/25/2018","PSTR 1 21","PSTR","P1","21","OSP1","OS","NS","Silk Cayes","False Caye","NS Transplant","N","N","alive",20,16,14,320,4480,29.95294118,0.005773503,0.004082483,29.44166611,0.125461034,0.072434961,9742.222222,0.593359369,0.017788218,2.937045213,0.088049172,0.039809558,1.414285714,9,"PSTR:P1",0.0457714487019613,-0.0304305378392693,0.127714919518217
"289","T3","5/31/2019","PSTR P1 16","PSTR","P1","16","OSP1","OS","OS","Silk Cayes","Silk Cayes","OS Native","N","N","alive",20,16,14,320,4480,39.88498683,0.01,0.007071068,43.52751309,0.258128649,0.149030645,10605.10476,1.079902588,0.015108126,0.800155761,0.011194393,0.042361835,3.027950311,17,"PSTR:P1",0.0432275126960377,-0.027762553958014,0.110012192935561
